y_test,y_pred
70.0,62.52525833333334
60.0,55.197583333333334
60.0,57.667633333333335
55.0,49.014541666666666
25.0,32.053916666666666
60.0,53.41775
25.0,33.13708333333333
40.0,44.02570833333333
52.5,48.960750000000004
60.0,62.365
50.0,47.80748214285714
60.0,54.51575
65.0,58.87295833333334
60.0,60.12691666666667
25.0,29.1199375
65.0,66.499
45.0,46.97479166666666
40.0,39.29925
50.0,46.01183333333333
50.0,50.3265
37.0,36.94
66.0,66.21216666666668
57.5,54.91020833333334
40.0,39.543
57.5,54.47741666666666
50.0,51.47025
50.0,50.199333333333335
55.0,51.80895833333333
45.0,44.01358333333334
55.0,53.10475
60.0,56.847625
30.0,31.68875
22.0,27.86958333333333
37.25,40.69620833333333
50.0,45.85475
47.5,45.912166666666664
47.5,45.711166666666664
22.0,28.6185
40.0,43.59108333333333
35.0,36.58766666666667
65.0,57.867
75.0,66.46180555555556
42.0,40.15483333333333
20.0,29.207
70.0,64.62975
33.0,35.57525
37.0,38.19025
37.0,46.027
37.0,37.30283333333334
45.0,42.58366666666667
55.0,49.26525
35.0,36.583
35.0,35.91525
52.5,47.982166666666664
50.0,49.588208333333334
65.0,64.01416666666667
55.0,51.380375
60.0,55.728791666666666
37.0,37.113708333333335
37.0,37.13875
20.0,29.832833333333333
60.0,61.63329166666667
80.0,78.57235
22.0,28.01125
30.0,34.746208333333335
45.0,42.51566666666666
25.0,31.075875
40.0,42.56975
45.0,45.58225
55.0,48.22316666666667
55.0,49.28041666666667
32.5,34.70225
42.5,41.0285
37.0,37.76541666666667
50.0,49.81275
50.0,49.8715
50.0,49.0225
50.0,49.40458333333333
50.0,49.721583333333335
37.0,40.71333333333333
37.0,37.798
50.0,50.14608333333334
50.0,48.40133333333333
37.0,42.66191666666666
70.0,62.24933333333333
70.0,75.02366666666666
60.0,56.997
60.0,62.37683333333334
50.0,49.207625
53.0,48.648125
70.0,65.675
60.0,48.85450000000001
35.0,35.57758333333334
35.0,36.096333333333334
55.0,52.600375
55.0,52.98658333333333
80.0,78.2581
22.0,29.905833333333334
25.0,29.299083333333332
70.0,57.9395
30.0,36.223949999999995
65.0,60.67520833333333
33.5,34.888
30.0,33.97679166666667
50.0,48.09625
30.0,36.79741666666666
50.0,47.00745833333333
45.0,45.0345
50.0,49.27180952380952
55.0,49.95805833333333
20.0,25.248083333333337
22.0,31.781916666666664
60.0,55.31545
4.0,4.026
4.0,4.026
4.0,4.026
4.0,4.026
4.0,4.026
4.0,4.026
4.0,4.026
4.0,4.026
40.0,39.55866666666667
50.0,46.917
70.0,68.877
22.0,28.144583333333333
77.5,68.496
77.5,68.200875
60.0,62.294583333333335
40.0,42.077124999999995
70.0,62.01275
45.0,42.26725
34.5,37.66479166666667
50.0,50.497458333333334
50.0,50.162
30.0,37.0935
40.0,42.816291666666665
45.0,44.99268452380954
30.0,36.93975
55.0,51.073166666666665
42.5,42.65891666666666
60.0,56.546875
55.0,51.15629166666666
30.0,34.009083333333336
20.0,26.207750000000004
37.0,36.93216666666667
45.0,47.131249999999994
30.0,31.46625
45.0,43.89391666666666
55.0,48.96633333333333
65.0,56.81725
70.0,58.10241666666666
20.0,26.471916666666665
45.0,42.59091666666667
100.0,93.8652
45.0,44.81341666666666
30.0,36.30441666666667
60.0,52.79625
35.0,34.62583333333333
50.0,38.584
37.5,37.3855
80.0,68.63052499999999
40.0,39.90966666666667
40.0,39.622666666666674
65.0,56.238375
55.0,49.54725
55.0,48.45591904761901
22.0,28.136666666666667
55.0,38.02556666666665
55.0,50.81916666666667
40.0,39.38475
40.0,40.686449999999994
40.0,39.384083333333336
35.0,38.37416666666667
37.0,39.699059523809524
55.0,51.32037499999999
75.0,73.77033333333334
70.0,59.857
88.0,81.93003333333334
55.0,52.089416666666665
55.0,34.481
65.0,67.3785
45.0,43.817791666666665
37.0,36.73825
40.0,45.999
60.0,48.45591904761901
80.0,71.97329166666665
55.0,52.758716666666665
32.5,35.056333333333335
50.0,47.32433333333333
38.0,38.86966666666667
44.75,46.42941666666666
100.0,92.24045
32.5,36.12033333333333
37.0,33.023
110.0,84.83998333333334
85.0,85.26876666666666
120.0,106.41106428571428
55.0,65.13625
70.0,76.68555
95.0,90.76358333333334
55.0,65.22859999999999
80.0,82.32358333333333
95.0,92.24326666666667
90.0,88.55708333333332
37.0,37.31079166666667
55.0,52.49979166666667
50.0,45.78825
65.0,55.68208333333334
80.0,75.35083333333334
60.0,62.10358333333333
70.0,69.3255
22.0,64.48625000000001
60.0,61.58441666666666
37.5,37.9831875
60.0,57.71225
55.0,64.99608333333333
90.0,84.00376666666666
82.5,81.38935000000001
70.0,71.89175
75.0,74.00478333333332
85.0,81.08876666666666
45.0,42.122875
73.0,72.53133333333334
65.0,67.55425
53.5,61.97768333333333
90.0,83.9826
75.0,72.968
65.0,67.2775
42.5,44.58183333333333
50.0,53.711585317460305
45.0,42.6465
35.0,31.551729166666668
60.0,52.81216666666666
28.0,33.89887499999999
28.0,33.08441666666667
28.0,32.79916666666667
28.0,33.253875
28.0,32.82333333333333
28.0,32.17941666666667
30.0,31.57075
40.0,40.562
35.0,32.62291666666667
45.0,42.42308333333334
45.0,42.07125
60.0,51.217
56.25,44.618583333333326
50.0,46.124208333333335
50.0,49.67925
37.0,37.77241666666667
5.25,19.930875
50.0,51.94704166666667
35.0,35.531416666666665
40.0,38.69949999999999
40.0,41.772
45.0,43.61304166666667
35.0,36.36491666666667
52.5,50.0305
48.0,44.59554166666667
27.0,30.33425
60.0,56.432625
70.0,75.96675
90.0,85.48675
25.0,29.680666666666664
65.0,58.72858333333333
45.0,42.01500000000001
50.0,46.31733333333333
50.0,51.74041666666667
25.0,30.323083333333336
32.5,35.55141666666667
30.0,33.4425
65.0,60.77554166666666
90.0,86.81541666666666
65.0,64.1005
40.0,39.712125
25.0,29.933541666666667
25.0,31.496625
30.0,28.84691666666667
47.5,45.99025
45.0,46.583
45.0,45.932875
72.5,71.0855
70.0,70.19638333333333
90.0,81.76458333333333
30.0,36.76616666666667
22.0,28.564
60.0,53.09882142857148
40.0,39.90275
30.0,32.90863333333334
40.0,39.451
45.0,44.7085
41.5,41.09183333333333
4.0,15.140333333333333
80.0,68.65558333333334
30.0,36.787908333333334
65.0,56.76233333333333
30.0,34.339916666666674
35.0,37.88516666666667
37.0,37.948833333333326
55.0,49.42616666666667
36.0,39.15399999999999
34.25,34.8835
35.0,36.682208333333335
65.0,67.92558333333335
50.0,47.645458333333345
55.0,55.98225
45.0,42.95266666666667
37.0,38.03666666666667
45.0,41.338770833333335
55.0,51.77333333333333
70.0,64.29016666666666
50.0,45.74158333333334
22.0,28.633333333333336
22.0,29.159
65.0,66.29625
65.0,66.29625
65.0,66.29625
55.0,54.62170833333334
45.0,44.244708333333335
11.0,25.079333333333334
70.0,73.32291666666666
60.0,56.55554166666667
30.0,33.041
25.0,28.932583333333334
50.0,50.862583333333326
37.0,36.26766666666666
35.0,34.6225
35.0,39.751333333333335
60.0,53.97016666666667
35.0,38.51416666666667
37.0,37.69541666666667
55.0,53.766558333333336
75.0,75.72741666666667
94.0,89.26735000000001
50.0,47.127312499999995
80.0,77.52779166666666
50.0,47.55222619047618
50.0,50.26616666666667
50.0,49.91457142857143
40.0,43.45558333333333
40.0,42.1084
37.0,38.53408928571429
37.0,40.91652083333333
95.0,73.33838333333333
50.0,43.39329166666666
45.0,46.043059523809525
30.0,37.05833333333334
45.0,44.06416666666667
40.0,40.69354166666666
80.0,71.547375
50.0,47.544
50.0,46.19125
35.0,36.1465
70.0,59.487291666666664
72.5,70.35233333333335
62.5,57.4785
52.5,53.873916666666666
80.0,74.89749404761905
55.0,53.653625
55.0,53.958416666666665
60.0,61.841750000000005
60.0,58.751041666666666
95.0,89.83775
95.0,87.65186666666668
95.0,91.75914999999999
30.0,33.247
60.0,55.16675
67.5,60.439550000000004
55.0,49.98533333333333
85.0,83.25878333333333
40.0,52.391725
67.5,69.87491666666668
50.0,45.546416666666666
60.0,65.80776666666667
32.5,35.78220833333333
37.0,37.72389017857142
22.0,28.7021375
74.0,75.12721666666665
15.0,23.47475
33.5,36.081833333333336
33.5,37.33733333333333
80.0,80.69028333333333
50.0,48.57975
40.0,39.96754166666667
50.0,48.07325
30.0,31.5885
50.0,47.419716666666666
20.0,26.872
22.0,31.931833333333337
40.0,40.4825
40.0,35.73491666666666
65.0,58.78214583333334
30.0,32.92825
40.0,39.93758333333333
55.0,49.253
22.0,24.37575
22.0,28.195208333333337
55.0,40.6645
22.0,28.417166666666667
37.0,38.21134166666667
37.0,37.40425
22.0,24.304166666666667
55.0,49.52493333333333
55.0,49.348875
30.0,34.35058333333333
30.0,35.18845833333334
30.0,35.5303125
85.0,85.11308333333332
65.0,39.011875
26.5,29.845166666666668
70.0,67.84966666666668
43.75,42.183416666666666
40.0,39.35216666666667
28.0,34.08654166666667
60.0,53.01445833333333
80.0,70.03710119047618
60.0,55.29308333333333
35.0,36.775916666666674
51.0,47.06075
30.0,34.4545
50.0,37.255625
40.0,42.188375
50.0,46.265766666666664
55.0,48.522125
30.0,35.1443125
32.0,40.65345833333333
37.0,37.2925
32.5,33.8855
32.5,35.486708333333326
60.0,53.64080952380953
22.0,28.325583333333334
32.5,33.604
32.5,35.10545833333333
32.5,33.43475
32.5,33.269
37.0,37.05054166666667
22.0,40.70952083333333
50.0,46.07058333333334
70.0,62.24970833333334
33.5,36.81151666666666
33.5,35.54166666666667
70.0,60.089604166666675
55.0,52.032083333333325
57.5,55.001749999999994
57.5,55.237166666666674
35.0,37.04925
75.0,64.94083333333333
40.0,39.309916666666666
53.0,47.227041666666665
40.0,39.90575
28.0,31.38175
85.0,80.16116666666667
37.0,36.65808333333334
32.5,33.554
32.5,35.04970833333333
30.0,32.30941666666667
37.0,36.96091666666666
37.0,37.75916666666667
55.0,53.29783333333334
65.0,58.43025
40.0,40.468
40.0,38.65791666666667
22.0,27.8025
75.0,71.94220833333334
40.0,38.50041666666667
40.0,43.001125
48.0,48.6805
50.0,51.19519345238099
30.0,33.94658333333333
20.0,25.83066666666667
50.0,46.554333333333325
50.0,38.70666666666667
50.0,48.02041666666666
55.0,51.275416666666665
75.0,72.58058333333334
65.0,66.64725
70.0,71.36625
85.0,81.40791666666665
55.0,58.50566666666667
55.0,52.73141666666666
60.0,61.42158333333334
60.0,65.07783333333333
30.0,33.80283333333334
50.0,46.3045
31.0,33.84033333333334
60.0,58.03220833333334
29.5,32.128062500000006
50.0,47.06975
72.5,62.901500000000034
55.0,42.18999999999999
75.0,41.6546011904762
57.0,51.53884999999999
90.0,89.88466666666666
80.0,81.25763333333333
85.0,92.54343333333335
40.0,39.4315
37.5,37.94014166666666
60.0,52.00445
80.0,81.1155
32.5,34.65541666666667
50.0,46.020208333333336
85.0,70.91383333333333
80.0,75.29776666666667
40.0,44.31383333333333
45.0,42.72525
80.0,79.67311666666667
24.0,29.834625
62.5,60.5175
50.0,51.0295
90.0,83.56758333333335
95.0,83.14433333333335
40.0,45.39208333333334
25.0,29.468958333333333
30.0,34.408125
27.5,32.343500000000006
80.0,76.69516666666667
50.0,51.18591666666667
33.5,34.849291666666666
40.0,44.37635000000001
22.0,41.86241666666666
45.0,56.655199999999994
60.0,61.991
36.5,37.337
50.0,49.63473333333334
40.0,43.388875
40.0,43.31325
50.0,46.11950000000001
50.0,48.919375
50.0,50.75291666666667
60.0,54.70875000000001
70.0,64.47608333333332
37.0,37.12141666666667
35.0,37.42075
60.0,57.21395833333334
70.0,62.91166666666666
60.0,56.8935
30.0,35.8705
72.5,63.61870833333334
60.0,57.49649999999999
55.0,49.94016666666667
40.0,41.21825
50.0,47.912875
37.0,38.26
50.0,55.32479166666668
60.0,62.48
45.0,42.754625
27.5,28.978
30.0,32.427416666666666
22.0,28.225166666666667
85.0,83.34596666666665
50.0,46.56441666666667
25.0,29.598250000000004
52.5,51.580175000000004
45.0,42.618125
25.0,32.77036666666667
40.0,39.651083333333325
55.0,59.42800000000001
55.0,52.830666666666666
80.0,75.4435
95.0,90.12625833333334
85.0,81.5985
45.0,43.154083333333325
32.5,34.45541666666667
23.0,28.970291666666665
70.0,74.17094999999999
95.0,90.79540000000001
90.0,88.0633
95.0,87.915
33.0,34.73425
33.0,35.613375
25.0,30.57125
25.0,31.21475
25.0,41.396125
30.0,34.153666666666666
30.0,33.734166666666674
30.0,34.553375
60.0,52.87108333333333
60.0,53.62041666666667
35.0,37.170583333333326
35.0,36.932
60.0,51.46745833333332
50.0,52.379416666666664
30.0,32.72166666666667
40.0,39.460416666666674
65.0,57.70791666666666
48.0,48.724976190476184
48.0,49.0868125
50.0,50.0775
40.0,40.11375
40.0,39.21199166666667
30.0,39.60895
50.0,49.36934166666667
52.5,50.798291666666664
80.0,67.00116666666668
38.75,41.160666666666664
38.75,41.76983333333334
32.5,35.68575833333333
60.0,62.50483333333334
55.0,50.27654166666667
50.0,49.593
80.0,73.07275
45.0,42.772416666666665
30.0,35.10108333333333
70.0,71.862
37.0,37.5465
30.0,34.088458333333335
50.0,45.470375
4.0,19.160333333333337
4.0,16.97670833333333
37.0,40.61425
60.0,61.15433333333334
20.0,25.897
45.0,49.22933333333333
70.0,64.93166666666667
50.0,49.98166666666667
33.5,37.831224999999996
4.0,16.145166666666665
50.0,46.332875
4.0,16.620895833333336
50.0,48.251625
50.0,46.13025
60.0,51.42041666666666
35.0,32.502291666666665
25.0,29.469500000000004
29.5,33.805125
37.0,41.333958333333335
29.5,32.42795833333333
29.5,33.41758333333333
29.5,32.613
29.5,41.44241666666667
29.5,37.73775
50.0,41.654291666666666
27.5,29.873
32.5,35.64941666666667
40.0,41.024
30.0,33.70045833333334
80.0,80.31101666666667
22.0,41.19421666666668
37.0,36.198916666666655
65.0,58.023875
55.0,53.09283333333334
60.0,60.30820833333333
40.0,39.94441666666666
70.0,60.68899999999999
60.0,55.029300000000006
60.0,55.56583333333333
70.0,58.51512499999999
60.0,57.20291666666667
80.0,78.53841666666666
30.0,39.520875
70.0,74.50803333333333
70.0,81.56288333333335
70.0,74.53966666666668
90.0,86.73023333333332
25.0,30.43066666666667
50.0,46.75425
50.0,38.318
70.0,69.84208333333335
55.0,61.190433333333324
60.0,63.2295
80.0,75.736
85.0,72.89651666666666
80.0,77.9395
75.0,76.68910000000001
70.0,73.24071666666666
77.0,77.88716666666667
60.0,64.79275
85.0,83.83385000000001
80.0,78.85488333333335
77.0,79.78
65.0,68.27575
80.0,76.80288333333333
88.0,77.83134999999999
90.0,87.37083333333332
75.0,74.236
72.0,74.01360000000001
75.0,76.61810000000001
80.0,80.19925
80.0,80.73989999999999
60.0,65.05825
70.0,73.27541666666667
35.0,49.04658333333333
92.5,87.12918333333333
80.0,79.93485000000001
77.0,76.09791666666666
85.0,81.55928333333333
25.0,40.032875
105.0,97.45483333333333
25.0,30.178083333333333
37.0,38.69825
50.0,46.26491666666667
65.0,58.984750000000005
60.0,55.994249999999994
35.0,36.3275
40.0,39.08166666666667
60.0,53.74525
92.5,86.67225
30.0,36.2855
60.0,37.28970833333334
90.0,85.51201666666667
37.0,41.24639583333334
84.0,80.1165
37.0,37.645583333333335
50.0,46.30158333333333
32.5,35.19791666666667
25.0,32.372
23.0,31.81425
30.0,32.238708333333335
55.625,52.992666666666665
60.0,48.262059523809526
95.0,90.56641666666665
60.0,68.05596666666665
25.0,30.4115
60.0,53.0865
22.0,27.817
25.0,30.19108333333333
85.0,83.0415
91.5,90.71816666666666
75.0,75.34051666666666
95.0,88.15801666666667
25.0,29.961500000000004
90.0,86.653
95.0,91.52568333333333
95.0,88.40545
100.0,93.36781666666667
45.0,60.97675
80.0,81.49783333333333
95.0,90.17578333333333
70.0,72.70425
90.0,87.57166666666666
95.0,87.87666666666665
100.0,92.52575
95.6666666666667,92.50281666666721
90.0,85.52985000000001
65.0,70.01758333333335
100.0,93.82768333333334
95.0,80.722
80.0,80.82655
100.0,95.7964642857143
80.0,82.45425000000002
22.0,32.67625833333333
45.0,43.458916666666674
60.0,55.1375
45.0,42.71516666666666
78.0,78.42645
78.0,77.3586
78.0,75.81551666666668
90.0,86.42528333333333
90.0,81.04065
102.5,96.65605
65.0,82.05541666666667
37.0,43.533166666666666
37.0,43.533166666666666
57.5,55.186773809523814
70.0,62.914249999999996
37.5,37.52175
42.5,40.151
45.0,51.65466666666667
100.0,82.32386666666667
35.0,51.252933333333324
77.0,78.01083333333332
56.5,51.026916666666665
22.0,27.95066666666667
30.0,44.78695833333333
22.0,28.55525
35.0,37.154
62.5,56.23770833333334
37.0,37.2485
30.0,34.88833333333334
46.0,43.24966666666666
37.0,62.85419166666668
37.0,37.89825
22.0,27.31325
22.0,28.960416666666664
30.0,32.945416666666674
37.0,36.973
25.0,30.263666666666666
22.0,28.561875
50.0,38.286875
52.5,49.78883333333333
35.0,38.91375
80.0,67.03564285714286
39.0,39.40033333333333
52.5,53.24875
50.0,47.331958333333326
22.0,28.712625
35.0,38.28333333333334
50.0,45.62875
45.0,43.293166666666664
30.0,32.569625
80.0,65.55279166666665
70.0,59.54591666666667
40.0,36.86566666666667
22.0,27.9015
25.0,30.38075
21.0,27.160916666666665
30.0,35.11410416666667
65.0,55.651
22.0,28.9805
33.5,34.69275
37.0,37.82541666666666
55.0,42.99054166666667
37.0,38.433
30.0,32.36525
25.0,30.49983333333333
22.0,27.854916666666668
30.0,35.12158333333333
23.5,29.547
35.25,37.722583333333326
42.0,40.58025
37.0,39.5305
22.0,28.114166666666666
85.0,81.995
27.5,34.60483333333334
35.0,38.47875
41.6666666666667,41.2293749999999
55.0,51.30141666666666
33.5,34.39533333333333
45.0,43.24625
85.0,81.38935000000001
90.0,83.85983333333334
52.5,47.52208333333333
37.0,37.84425000000001
27.5,43.81258333333333
22.0,28.111583333333332
22.0,29.02775
40.0,41.45483333333333
70.0,67.90766666666666
30.0,33.39291666666667
37.0,38.57425
86.5,84.92331666666666
50.0,40.04495833333333
22.0,28.187458333333332
22.0,28.53675
97.5,89.57825
35.0,37.602833333333336
27.5,32.0325
22.0,31.462666666666667
22.0,37.574916666666674
90.0,86.70661666666669
37.0,37.55683333333334
36.0,38.943583333333336
37.0,38.262125
37.0,38.467333333333336
37.0,41.06983333333333
37.0,47.59716666666667
35.0,36.74533333333333
40.0,49.55958333333333
55.0,58.352666666666664
37.5,38.77474999999999
37.0,38.11491666666667
45.0,43.91983333333334
90.0,84.64425
19.0,27.640416666666667
57.5,65.31591666666667
50.0,45.16558333333334
90.0,87.52521666666668
37.0,37.94616666666666
25.0,42.64641666666667
30.0,32.82583333333333
30.0,33.90963095238095
30.0,32.63625
35.0,35.63175
37.0,38.013416666666664
20.0,25.540041666666667
70.0,60.67027380952381
37.0,37.73
22.0,29.23425
22.0,28.489
22.0,27.793
35.0,37.578916666666665
55.0,62.6546
85.0,84.54286666666667
39.5,39.385
37.0,36.947333333333326
85.0,81.50642500000002
40.0,44.51125
35.0,36.81066666666666
22.5,29.137583333333335
22.5,27.461
22.5,28.601833333333335
37.0,37.72975
27.5,32.90770833333334
55.0,52.96621666666667
65.0,59.260025
65.0,59.58841666666667
29.0,36.06121666666667
22.0,28.47325
95.0,88.27525
33.5,34.54783333333334
50.0,46.26066666666667
37.25,37.78325
47.5,44.94775
22.5,30.036583333333333
38.0,36.515520833333326
30.0,32.14158333333334
22.0,29.416666666666668
60.0,63.84486666666666
37.0,37.455375
30.0,34.3295
58.3333333333333,60.131166666667205
37.0,39.539
60.0,56.4854
91.0,86.8666
85.0,82.40797500000001
50.0,50.30029166666667
75.0,63.59091666666667
67.5,60.12935119047619
55.0,49.04291666666666
30.0,33.8495
40.0,40.0250625
22.0,27.600166666666667
85.0,78.09933333333335
65.0,58.016
45.0,43.608583333333335
99.0,78.03066666666666
30.0,33.24925
87.0,83.85076666666666
37.0,38.9675
37.0,37.03991666666667
60.0,52.804249999999996
41.6666666666667,40.62270833333327
60.0,46.01033333333333
60.0,56.380208333333336
52.5,51.19519345238099
50.0,48.3075
43.0,40.60566666666667
60.0,53.75625
75.0,74.71558333333334
37.0,39.85
25.0,36.27791666666667
65.0,64.30583333333334
70.0,72.04226666666666
70.0,68.16629166666667
